file,area,brightness,centroid_x,centroid_y
nasa_image_2.png,7.0,962,412.7142857142857,85.71428571428571
nasa_image_2.png,1.0,129,416.0,85.0
nasa_image_2.png,1.0,140,424.0,85.0
nasa_image_2.png,38.0,5580,448.8421052631579,87.02631578947368
nasa_image_2.png,2.0,273,235.5,86.0
nasa_image_2.png,7.0,964,254.57142857142858,87.42857142857143
nasa_image_2.png,3.0,400,138.33333333333334,87.33333333333333
nasa_image_2.png,1.0,132,159.0,87.0
nasa_image_2.png,1.0,129,209.0,87.0
nasa_image_2.png,26.0,3916,267.9230769230769,88.61538461538461
nasa_image_2.png,5.0,689,370.6,88.2
nasa_image_2.png,1.0,135,101.0,88.0
nasa_image_2.png,9.0,1379,124.33333333333333,89.55555555555556
nasa_image_2.png,15.0,2243,223.0,88.8
nasa_image_2.png,16.0,2244,354.25,89.75
nasa_image_2.png,75.0,10738,371.9066666666667,92.84
nasa_image_2.png,3.0,407,387.6666666666667,88.33333333333333
nasa_image_2.png,2.0,269,439.0,88.5
nasa_image_2.png,15.0,2130,237.2,90.33333333333333
nasa_image_2.png,2.0,261,247.5,89.0
nasa_image_2.png,5.0,683,295.8,89.6
nasa_image_2.png,15.0,2126,323.0,90.26666666666667
nasa_image_2.png,2.0,287,334.5,89.0
nasa_image_2.png,13.0,1874,458.15384615384613,90.15384615384616
nasa_image_2.png,2.0,262,194.5,90.0
nasa_image_2.png,3.0,425,230.0,90.0
nasa_image_2.png,1.0,129,174.0,91.0
nasa_image_2.png,1.0,129,360.0,92.0
nasa_image_2.png,2.0,270,412.5,92.0
nasa_image_2.png,3.0,400,462.6666666666667,92.66666666666667
nasa_image_2.png,9.0,1263,168.66666666666666,94.0
nasa_image_2.png,80.0,11283,181.8,99.85
nasa_image_2.png,1.0,134,231.0,93.0
nasa_image_2.png,2.0,260,347.5,93.0
nasa_image_2.png,1.0,133,210.0,94.0
nasa_image_2.png,3.0,393,216.0,94.0
nasa_image_2.png,7.0,955,220.14285714285714,95.0
nasa_image_2.png,4.0,532,275.0,94.5
nasa_image_2.png,26.0,3591,290.7692307692308,95.5
nasa_image_2.png,65.0,9033,305.73846153846154,99.66153846153846
nasa_image_2.png,5.0,698,315.8,94.6
nasa_image_2.png,12.0,1687,472.1666666666667,95.66666666666667
nasa_image_2.png,4.0,546,338.75,95.75
nasa_image_2.png,6.0,829,358.0,95.5
nasa_image_2.png,16.0,2191,152.75,97.5
nasa_image_2.png,72.0,10362,224.02777777777777,100.90277777777777
nasa_image_2.png,9.0,1241,238.33333333333334,97.11111111111111
nasa_image_2.png,40.0,5375,275.2,98.85
nasa_image_2.png,1.0,129,279.0,96.0
nasa_image_2.png,7.0,943,312.2857142857143,97.14285714285714
nasa_image_2.png,1.0,133,320.0,96.0
nasa_image_2.png,2.0,293,460.5,96.0
